activity_year,loan_amount,income,interest_rate,debt_to_income_ratio,loan_term,property_value,loan_to_value_ratio,action_taken,is_conventional_type,is_fha_type,is_va_type,is_home_purchase_purpose,is_home_improvement_purpose,is_refinancing_purpose,unemployment_measure,federal_funds_measure,money_stock
2021,32.5,291.0,2.781,20.0,180.0,90.5,35.58,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,54.5,235.0,3.375,47.0,360.0,85.5,64.47,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,0.5,69.0,3.1430324107793153,43.0,360.0,30.5,104.63,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,38.5,85.0,2.625,47.0,360.0,42.5,89.648,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,20.5,81.0,3.25,25.0,360.0,25.5,90.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,18.5,54.0,3.125,45.0,360.0,18.5,96.5,1,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,16.5,66.0,3.375,36.0,240.0,26.5,64.077,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,10.5,48.0,3.625,25.0,360.0,15.5,68.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,20.5,103.0,2.99,41.0,360.0,29.5,69.5,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,3.5,123.0,4.001042690815007,20.0,360.0,39.5,90.93,0,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,13.5,56.0,3.375,47.0,216.0,20.5,63.592,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,13.5,56.0,3.375,47.0,216.0,20.5,63.592,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,22.5,92.0,2.875,40.0,240.0,30.5,74.917,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,30.5,122.0,2.99,25.0,360.0,34.5,90.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,23.5,0.0,3.0703554564533055,20.0,360.0,29.5,69.0,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,10.5,100.0,2.125,33.0,180.0,11.5,95.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,41.5,225.0,2.25,25.0,180.0,130.5,33.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,21.5,145.0,3.25,25.0,312.0,38.5,56.8,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
